case_id,baseline,library_size,hidden_hit_rank,top_1_pct,top_10,top_100
ABX-001,18.1_random,175456,148848.0,False,False,False
ABX-002,18.1_random,175457,89268.0,False,False,False
ABX-001,18.2_known_antibiotic_similarity,175456,116953.0,False,False,False
ABX-002,18.2_known_antibiotic_similarity,175457,29239.0,False,False,False
ABX-001,18.3_training_active_nn,175456,167599.0,False,False,False
ABX-002,18.3_training_active_nn,175456,151280.0,False,False,False
ABX-001,18.4_physchem_heuristic,175456,95365.0,False,False,False
ABX-002,18.4_physchem_heuristic,175456,95365.0,False,False,False
ABX-001,18.5_tox_heuristic_DANGEROUS,175456,40482.0,False,False,False
ABX-002,18.5_tox_heuristic_DANGEROUS,175456,40482.0,False,False,False
ABX-001,18.6_ecfp_rf,175456,35253.0,False,False,False
ABX-002,18.6_ecfp_rf,175456,50469.0,False,False,False
ABX-001,18.6_ecfp_xgb,175456,81239.0,False,False,False
ABX-002,18.6_ecfp_xgb,175456,160535.0,False,False,False
ABX-001,18.7_dmpnn,175456,38735.0,False,False,False
ABX-002,18.7_dmpnn,175456,148111.0,False,False,False
ABX-001,18.8_organism_agnostic,175456,40255.0,False,False,False
ABX-002,18.8_organism_agnostic,175456,42991.0,False,False,False
ABX-001,18.10_diffusion_without_selectivity_pending_training,175455,,False,False,False
ABX-002,18.10_diffusion_without_selectivity_pending_training,175455,,False,False,False
